trade_id,entry_time,exit_time,entry_price,exit_price,quantity,profit_pct,profit_usdt,direction_prob,trade_result,trade_duration
"41766158701","2025-04-22 10:34:07","2025-04-22 10:36:02","88413.55","88433.36","0.00012000","0.02","0.00","0.4533","Win","1 minutes"
"41766182412","2025-04-22 10:37:01","2025-04-22 10:38:02","88413.56","88469.33","0.00012000","0.06","0.01","0.6667","Win","1 minutes"
"41766182412","2025-04-22 10:37:01","2025-04-22 10:42:02","88413.56","88570.00","0.00012000","0.18","0.02","0.5000","Win","5 minutes"
"41766182412","2025-04-22 10:37:01","2025-04-22 11:12:02","88413.56","88589.98","0.00012000","0.20","0.02","0.5000","Win","35 minutes"
"41767067274","2025-04-22 11:19:01","2025-04-22 11:21:02","88565.23","88577.75","0.00012000","0.01","0.00","0.7658","Win","2 minutes"
"41767288274","2025-04-22 11:27:01","2025-04-22 11:30:02","88608.70","88632.80","0.00012000","0.03","0.00","0.8023","Win","3 minutes"
"41767288274","2025-04-22 11:27:01","2025-04-22 12:55:02","88608.70","88855.78","0.00012000","0.28","0.03","0.5000","Win","1 hours 28 minutes"
"41773366555","2025-04-22 13:34:59","2025-04-22 13:38:00","89880.00","89741.54","0.00012000","-0.15","-0.02","0.5017","Loss","3 minutes"
"41773366555","2025-04-22 13:34:59","2025-04-22 14:04:02","89880.00","90212.90","0.00012000","0.37","0.04","0.5000","Win","29 minutes"
"41773366555","2025-04-22 13:34:59","2025-04-22 14:43:02","89880.00","90642.37","0.00012000","0.85","0.09","0.5000","Win","1 hours 8 minutes"